,year,track_rank,search_artist,search_query,track_popularity,duration_min,tempo,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,k_labels,clusters
31,1970,32,Blues Image,Ride Captain Ride,51.0,3.76,125.545,0.547,0.655,2.0,-11.707,1.0,0.0414,0.136,0.007370000000000001,0.11599999999999999,0.649,1,Happy Dance
32,1970,33,Shocking Blue,Venus,66.0,3.13,128.111,0.691,0.762,11.0,-6.47,0.0,0.0367,0.462,0.0286,0.0804,0.9570000000000001,1,Happy Dance
33,1970,34,John Lennon,Instant Karma!,57.0,3.34,119.976,0.628,0.9309999999999999,9.0,-9.972999999999999,1.0,0.0968,0.0006889999999999999,0.00146,0.0997,0.14400000000000002,0,Neutral Energetic
34,1970,35,Clarence Carter,Patches,45.0,3.23,80.844,0.639,0.544,4.0,-12.843,1.0,0.141,0.617,0.0,0.479,0.7929999999999999,2,Soft Acoustic
35,1970,36,Creedence Clearwater Revival,Lookin' out My Back Door,66.0,2.54,105.318,0.745,0.6559999999999999,10.0,-6.393,1.0,0.0405,0.188,0.00337,0.0941,0.858,1,Happy Dance
36,1970,37,Brook Benton,Rainy Night in Georgia,49.0,3.89,75.165,0.301,0.309,4.0,-19.155,0.0,0.042,0.524,0.0758,0.129,0.384,2,Soft Acoustic
37,1970,38,Kenny Rogers,Something's Burning,31.0,4.03,89.802,0.425,0.34,9.0,-14.913,1.0,0.0338,0.35200000000000004,0.000824,0.0696,0.418,2,Soft Acoustic
39,1970,40,Edison Lighthouse,Love Grows,52.0,2.91,108.625,0.568,0.8240000000000001,9.0,-4.613,1.0,0.0299,0.40299999999999997,0.0,0.0855,0.753,1,Happy Dance
40,1970,41,The Beatles,The Long and Winding Road,62.0,3.64,132.282,0.299,0.32899999999999996,3.0,-10.096,1.0,0.0279,0.7559999999999999,0.0105,0.0559,0.392,2,Soft Acoustic
41,1970,42,Anne Murray,Snowbird,47.0,2.24,104.117,0.531,0.48,9.0,-10.633,1.0,0.0366,0.256,0.000136,0.0908,0.8809999999999999,1,Happy Dance
42,1970,43,Marmalade,Reflections of My Life,42.0,4.19,92.66799999999999,0.38799999999999996,0.406,7.0,-10.665999999999999,1.0,0.0266,0.5720000000000001,0.0351,0.295,0.51,2,Soft Acoustic
43,1970,44,Eddie Holman,Hey There Lonely Girl,44.0,3.61,94.007,0.389,0.322,9.0,-10.923,1.0,0.0282,0.693,2.08e-06,0.0814,0.34299999999999997,2,Soft Acoustic
44,1970,45,The Jaggerz,The Rapper,34.0,2.71,120.376,0.8220000000000001,0.7,9.0,-6.382999999999999,1.0,0.0326,0.141,0.00827,0.6679999999999999,0.961,1,Happy Dance
45,1970,46,The Hollies,"He Ain't Heavy, He's My Brother",48.0,4.3,75.734,0.309,0.441,7.0,-6.524,1.0,0.0291,0.409,1.73e-05,0.513,0.217,2,Soft Acoustic
46,1970,47,Alive N Kickin',"Tighter, Tighter",41.0,2.81,162.032,0.40700000000000003,0.826,8.0,-10.014,0.0,0.053,0.0409,0.00014,0.0486,0.794,1,Happy Dance
47,1970,48,Badfinger,Come and Get It,48.0,2.39,94.00399999999999,0.616,0.629,8.0,-6.9,1.0,0.0263,0.0285,1.32e-06,0.20800000000000002,0.606,0,Neutral Energetic
48,1970,49,Simon & Garfunkel,Cecilia (Simon & Garfunkel song),72.0,2.91,102.762,0.755,0.8759999999999999,0.0,-8.867,1.0,0.0362,0.35700000000000004,5.17e-06,0.22,0.9540000000000001,1,Happy Dance
49,1970,50,Charles Wright & the Watts 103rd Street Rhythm Band,Love Land,21.0,3.12,96.35600000000001,0.669,0.514,0.0,-11.220999999999998,0.0,0.0303,0.47700000000000004,0.0,0.307,0.866,1,Happy Dance
50,1970,51,Tyrone Davis,Turn Back the Hands of Time,39.0,2.98,117.794,0.563,0.655,6.0,-6.399,1.0,0.032,0.168,0.0,0.0484,0.866,1,Happy Dance
51,1970,52,The Kinks,Lola,68.0,4.02,152.113,0.474,0.917,9.0,-4.19,1.0,0.0395,0.5820000000000001,0.231,0.201,0.902,1,Happy Dance
52,1970,53,Mungo Jerry,In the Summertime,65.0,3.53,82.751,0.754,0.449,4.0,-14.013,1.0,0.0615,0.7240000000000001,0.0,0.162,0.973,2,Soft Acoustic
53,1970,54,R. Dean Taylor,Indiana Wants Me,33.0,3.59,88.682,0.531,0.8340000000000001,8.0,-3.87,1.0,0.0405,0.0614,0.0019199999999999998,0.314,0.705,1,Happy Dance
54,1970,55,Rare Earth,(I Know) I'm Losing You,32.0,3.6,100.60799999999999,0.46299999999999997,0.5529999999999999,6.0,-14.648,1.0,0.0465,0.573,3.66e-05,0.315,0.715,2,Soft Acoustic
55,1970,56,Bobby Sherman,"Easy Come, Easy Go",21.0,2.67,142.82299999999998,0.539,0.386,4.0,-11.197000000000001,1.0,0.0338,0.853,0.000522,0.708,0.755,2,Soft Acoustic
56,1970,57,Charles Wright & the Watts 103rd Street Rhythm Band,Express Yourself (Charles Wright & the Watts 103rd Street Rhythm Band song),58.0,3.89,92.311,0.789,0.6829999999999999,8.0,-8.835,1.0,0.086,0.48,0.0,0.35,0.882,1,Happy Dance
58,1970,59,Chicago,Make Me Smile,45.0,2.98,124.78,0.619,0.773,8.0,-7.345,1.0,0.063,0.129,0.0487,0.519,0.722,1,Happy Dance
59,1970,60,Frijid Pink,The House of the Rising Sun,23.0,4.73,114.49,0.315,0.7759999999999999,9.0,-6.443,1.0,0.0695,0.191,0.000288,0.149,0.212,0,Neutral Energetic
60,1970,61,Chicago,25 or 6 to 4,63.0,4.83,147.44799999999998,0.604,0.905,4.0,-7.059,0.0,0.0578,0.309,0.0632,0.0837,0.723,1,Happy Dance
61,1970,62,White Plains,My Baby Loves Lovin',40.0,2.62,132.083,0.685,0.743,10.0,-12.345999999999998,1.0,0.0546,0.614,0.0,0.0815,0.7140000000000001,2,Soft Acoustic
62,1970,63,The Friends of Distinction,Love or Let Me Be Lonely,31.0,3.34,96.45299999999999,0.525,0.433,9.0,-16.625999999999998,1.0,0.0386,0.158,2.7899999999999997e-05,0.114,0.462,2,Soft Acoustic
64,1970,65,The Carpenters,We've Only Just Begun,5.0,2.81,93.88600000000001,0.406,0.483,9.0,-11.337,1.0,0.0247,0.271,0.765,0.171,0.363,2,Soft Acoustic
65,1970,66,Mark Lindsay,Arizona,40.0,3.14,81.18,0.479,0.45299999999999996,3.0,-12.806,1.0,0.0472,0.225,0.00037999999999999997,0.14300000000000002,0.7559999999999999,1,Happy Dance
66,1970,67,James Taylor,Fire and Rain,71.0,3.39,76.271,0.597,0.271,5.0,-17.293,1.0,0.0394,0.7659999999999999,0.0119,0.0933,0.33799999999999997,2,Soft Acoustic
67,1970,68,Gene Chandler,Groovy Situation,27.0,3.22,88.212,0.5670000000000001,0.444,5.0,-14.367,1.0,0.0516,0.451,0.0,0.546,0.769,2,Soft Acoustic
68,1970,69,Santana,Evil Ways,59.0,3.97,117.47200000000001,0.7040000000000001,0.528,5.0,-13.382,1.0,0.0358,0.22,0.35,0.14,0.73,1,Happy Dance
69,1970,70,The Guess Who,No Time,43.0,3.83,127.555,0.47700000000000004,0.693,0.0,-6.348,1.0,0.0351,0.32299999999999995,2.13e-06,0.192,0.593,0,Neutral Energetic
70,1970,71,The Delfonics,Didn't I,55.0,3.35,140.588,0.484,0.59,9.0,-6.662999999999999,1.0,0.0283,0.795,0.0030600000000000002,0.155,0.324,2,Soft Acoustic
71,1970,72,Elvis Presley,The Wonder of You,62.0,3.63,89.521,0.29,0.593,7.0,-7.971,1.0,0.039,0.563,0.0235,0.127,0.275,2,Soft Acoustic
72,1970,73,Creedence Clearwater Revival,Up Around the Bend,68.0,2.69,130.31799999999998,0.589,0.85,2.0,-6.143,1.0,0.0343,0.0606,0.779,0.27399999999999997,0.813,1,Happy Dance
73,1970,74,Ronnie Dyson,(If You Let Me Make Love To You Then) Why Can't I Touch You?,20.0,3.4,93.90700000000001,0.39799999999999996,0.6920000000000001,0.0,-8.596,1.0,0.045,0.496,0.0,0.39399999999999996,0.65,2,Soft Acoustic
74,1970,75,B.J. Thomas,I Just Can't Help Believing,26.0,3.26,129.006,0.716,0.5479999999999999,5.0,-8.213,1.0,0.0307,0.195,0.000328,0.192,0.677,1,Happy Dance
75,1970,76,The Spinners,It's a Shame,62.0,3.17,198.731,0.37200000000000005,0.642,11.0,-11.955,1.0,0.0594,0.0947,0.0,0.11699999999999999,0.705,1,Happy Dance
76,1970,77,Bobbi Martin,For the Love of Him,11.0,2.53,114.977,0.6990000000000001,0.359,0.0,-9.658999999999999,1.0,0.0371,0.166,0.0,0.6729999999999999,0.42700000000000005,0,Neutral Energetic
77,1970,78,Mountain,Mississippi Queen,67.0,2.52,139.714,0.581,0.624,9.0,-8.346,1.0,0.0777,0.0987,0.0,0.0411,0.637,1,Happy Dance
78,1970,79,Ike & Tina Turner,I Want to Take You Higher,22.0,2.88,116.93,0.662,0.92,1.0,-6.898,1.0,0.12300000000000001,0.486,0.0,0.10099999999999999,0.8320000000000001,1,Happy Dance
